	yearPub	numWords	sizeCat	reprintCount	timeSlot	aggregated
EötvösJózsef	0.05386854188496484	0.2912106663544226	0.0	0.0	0.0	0.06901584164787748
VachottSándorné	0.05386854188496484	0.0	0.5	0.0	0.0	0.11077370837699296
JósikaJúlia	0.34321429985583396	0.03877272982817019	0.5	0.0	0.0	0.17639740593680084
NagyIgnác	0.008515545040235911	0.5784804727056675	0.5	0.0	0.0	0.2173992035491807
VasGereben	0.0	0.08095978676858273	0.5	0.0	1.0	0.3161919573537165
GárdonyiGéza	0.15266602170659868	0.4461401099090334	1.0	0.0	1.0	0.5197612263231264
MikszáthKálmán	0.8042078511484675	0.39997381098281204	1.0	0.0	1.0	0.6408363324262559
KeményZsigmond	0.9064100087555832	0.34467523132186084	1.0	0.0	1.0	0.6502170480154887
JókaiMór	1.0	0.9999999999999999	0.5	0.0	1.0	0.7
