	yearPub	numWords	sizeCat	reprintCount	timeSlot	aggregated	prediction
Botelho	0.9999999999999999	0.1990608542025635	0.5	1.0	0.5	0.6398121708405127	0.3601878291594873
CasteloBranco	0.2729924163695581	1.0	1.0	0.0	0.5	0.5545984832739116	0.4454015167260884
EçadeQueirós	0.9512229030209737	0.5720155923272916	0.0	0.0	1.0	0.504647699069653	0.495352300930347
Pimentel	0.905521748906647	0.08169609375515066	0.5	0.0	0.5	0.3974435685323595	0.6025564314676405
Barata	0.7408491019691148	0.002278225768552855	0.5	0.0	0.5	0.3486254655475335	0.6513745344524665
Brandão	0.5418743781107761	0.0	0.5	0.0	0.0	0.2083748756221552	0.7916251243778448
Herculano	0.1649767995128924	0.37219001096161053	0.5	0.0	0.0	0.20743336209490057	0.7925666379050994
CastroOsório	0.1841990942384551	0.2812593588837391	0.5	0.0	0.0	0.19309169062443882	0.8069083093755611
Dinis	0.0	0.01697881959492112	0.0	0.0	0.0	0.0033957639189842238	0.9966042360810158
