	mean_var	mean_diffs_yearPub	mean_diffs_numWords	mean_diffs_timeSlot	mean_diffs_sizeCat	mean_diffs_reprintCount	aggregated	prediction
pol	0.0	0.0	0.0	0.5318388564002599	0.0	0.17803030303030304	0.11831152657176047	0.11831152657176047
hun	0.546511700010671	0.8306620209059214	0.11334104400986651	0.2573099415204678	0.7191547375596463	0.0	0.41116324066776216	0.41116324066776216
rom	0.45963852591930876	0.7266898954703841	0.023686726227708857	0.0	0.5691888207225633	0.8222222222222224	0.43357103176036454	0.43357103176036454
nor	0.35250188631237545	0.38269242952169735	0.35062137824409007	0.4314489928525017	1.0	0.0909090909090909	0.4346956296399593	0.4346956296399593
por	0.41819887936196	1.0	0.11287486280109994	0.829109811565952	0.26925698704839807	0.2222222222222222	0.4752771271666054	0.4752771271666054
fra	1.0	0.6294076655052244	0.15012805230671183	0.6861598440545812	0.6291751874573959	0.8222222222222221	0.6528488285910226	0.6528488285910226
eng	0.8122856909042109	0.8802787456445985	0.5610166290967887	0.829109811565952	0.6891615541922298	0.7333333333333333	0.7508642941228523	0.7508642941228523
deu	0.3795871296241884	0.7427114349065558	1.0	1.0	0.6837082481254266	1.0	0.8010011354426951	0.8010011354426951
